Nifty 50,Nifty 100,Nifty 500,Nifty 200,Nifty Bank,Nifty IT,Nifty Pharma,Nifty Auto,Nifty Financial Services,Nifty FMCG,Nifty Healthcare,Nifty Media,Nifty Metal,Nifty Private Bank,Nifty PSU Bank,Nifty Oil and Gas ,Nifty MidCap
,,CREDITACC,MARUTI,,,,,,,,,,,,,
,,CROMPTON,MFSL,,,,,,,,,,,,,
,,CUMMINSIND,MAXHEALTH,,,,,,,,,,,,,
,,CYIENT,MAZDOCK,,,,,,,,,,,,,
,,DCMSHRIRAM,MPHASIS,,,,,,,,,,,,,
,,DLF,NHPC,,,,,,,,,,,,,
,,DOMS,NMDC,,,,,,,,,,,,,
,,DABUR,NTPC,,,,,,,,,,,,,
,,DALBHARAT,NESTLEIND,,,,,,,,,,,,,
,,DATAPATTNS,OBEROIRLTY,,,,,,,,,,,,,
,,DEEPAKFERT,ONGC,,,,,,,,,,,,,
,,DEEPAKNTR,OIL,,,,,,,,,,,,,
,,DELHIVERY,PAYTM,,,,,,,,,,,,,
,,DEVYANI,OFSS,,,,,,,,,,,,,
,,DIVISLAB,POLICYBZR,,,,,,,,,,,,,
,,DIXON,PIIND,,,,,,,,,,,,,
,,LALPATHLAB,PAGEIND,,,,,,,,,,,,,
,,DRREDDY,PATANJALI,,,,,,,,,,,,,
,,EIDPARRY,PERSISTENT,,,,,,,,,,,,,
,,EIHOTEL,PETRONET,,,,,,,,,,,,,
,,EPL,PIDILITIND,,,,,,,,,,,,,
,,EASEMYTRIP,PEL,,,,,,,,,,,,,
,,EICHERMOT,POLYCAB,,,,,,,,,,,,,
,,ELECON,POONAWALLA,,,,,,,,,,,,,
,,ELGIEQUIP,PFC,,,,,,,,,,,,,
,,EMAMILTD,POWERGRID,,,,,,,,,,,,,
,,ENDURANCE,PRESTIGE,,,,,,,,,,,,,
,,ENGINERSIN,PNB,,,,,,,,,,,,,
,,EQUITASBNK,RECLTD,,,,,,,,,,,,,
,,ERIS,RVNL,,,,,,,,,,,,,
,,ESCORTS,RELIANCE,,,,,,,,,,,,,
,,EXIDEIND,SBICARD,,,,,,,,,,,,,
,,FDC,SBILIFE,,,,,,,,,,,,,
,,NYKAA,SJVN,,,,,,,,,,,,,
,,FEDERALBNK,SRF,,,,,,,,,,,,,
,,FACT,MOTHERSON,,,,,,,,,,,,,
,,FINEORG,SHREECEM,,,,,,,,,,,,,
,,FINCABLES,SHRIRAMFIN,,,,,,,,,,,,,
,,FINPIPE,SIEMENS,,,,,,,,,,,,,
,,FSL,SONACOMS,,,,,,,,,,,,,
,,FIVESTAR,SBIN,,,,,,,,,,,,,
,,FORTIS,SAIL,,,,,,,,,,,,,
,,GAIL,SUNPHARMA,,,,,,,,,,,,,
,,GMMPFAUDLR,SUNTV,,,,,,,,,,,,,
